Student_ID,Attendance,Current_GPA,Previous_GPA,Assignment_Rate,Backlogs,Occupancy_Rate,Electricity_Usage,Internet_Usage,Maintenance_Complaints,Temperature,Humidity,Rainfall,Water_Level,Air_Quality_Index,Risk_Score,Risk_Level,Risk_Factors,Recommended_Action
ST1001,78,5.92,7.71,43,5,63,1052.5,81,15,28.5,30,79.4,94,226,84.4,High,Declining GPA; Low assignment completion; Backlogs; Heavy rainfall; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1002,91,9.37,8.52,63,3,49,458.7,82,11,41.3,80,42.7,32,201,21.7,Low,Backlogs,Continue regular monitoring
ST1003,68,6.34,4.95,82,1,77,900.2,72,7,35.3,34,97.1,77,146,48.4,Medium,Low attendance; Heavy rainfall; High water level,Monitor performance and attendance
ST1004,54,4.07,9.29,49,1,61,1142.3,71,15,21.8,42,35.4,30,216,66.7,Medium,Low attendance; Declining GPA; Low assignment completion,Monitor performance and attendance
ST1005,82,9.43,9.23,45,1,65,1145.3,55,8,39,48,68.5,52,240,18.5,Low,Low assignment completion; Heavy rainfall,Continue regular monitoring
ST1006,47,4.55,4.18,99,4,82,810.4,52,15,30.6,41,89.4,94,246,90,High,Low attendance; Backlogs; Heavy rainfall; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1007,100,5.92,8.95,85,3,94,1435.9,72,14,21.5,77,45.5,35,110,39.3,Low,Declining GPA; Backlogs,Continue regular monitoring
ST1008,60,9.7,4.77,87,1,78,584.1,57,13,32.1,54,36.3,50,174,13.4,Low,Low attendance,Continue regular monitoring
ST1009,78,9.7,6.01,33,2,66,950.4,38,10,29.2,86,55.1,47,27,24.8,Low,Low assignment completion; Backlogs,Continue regular monitoring
ST1010,97,7.44,8.46,33,5,68,1160,49,11,39.3,64,98.2,97,51,73.7,High,Declining GPA; Low assignment completion; Backlogs; Heavy rainfall; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1011,58,7.79,4.96,49,5,86,1166.8,85,0,24.5,34,111.6,20,231,72.9,High,Low attendance; Low assignment completion; Backlogs; Heavy rainfall,Faculty intervention; Academic counselling; Campus monitoring
ST1012,62,6.69,8.91,39,2,77,1113.5,68,15,38.2,51,65.4,38,83,53.4,Medium,Low attendance; Declining GPA; Low assignment completion; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1013,50,5.76,8.99,53,5,59,702.8,80,13,32.3,86,79.4,69,157,83.1,High,Low attendance; Declining GPA; Low assignment completion; Backlogs; Heavy rainfall,Faculty intervention; Academic counselling; Campus monitoring
ST1014,50,5.97,7.04,55,4,66,571.8,41,10,21.2,76,108.4,76,32,84.3,High,Low attendance; Declining GPA; Low assignment completion; Backlogs; Heavy rainfall; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1015,63,8.04,4.04,66,4,80,1099.5,84,1,41.4,83,11.8,74,210,49.4,Medium,Low attendance; Backlogs,Monitor performance and attendance
ST1016,92,8.51,5.72,83,0,93,1059.2,40,9,31.3,32,27.8,70,112,5.1,Low,No major risk factors,Continue regular monitoring
ST1017,75,8.75,7.7,50,0,59,597.3,55,1,26.4,82,85.1,28,182,22.9,Low,Low assignment completion; Heavy rainfall,Continue regular monitoring
ST1018,79,8.74,9.89,67,0,83,1175.7,71,14,30.3,60,98.8,55,80,20.7,Low,Declining GPA; Heavy rainfall,Continue regular monitoring
ST1019,63,4.55,7.79,75,5,58,900.7,56,3,38.9,98,102.8,58,201,87.6,High,Low attendance; Declining GPA; Backlogs; Heavy rainfall,Faculty intervention; Academic counselling; Campus monitoring
ST1020,42,6.97,5.56,33,4,59,1134.5,40,1,26.7,62,49.8,31,27,71.1,High,Low attendance; Low assignment completion; Backlogs,Faculty intervention; Academic counselling; Campus monitoring
ST1021,61,4.35,7.8,89,4,74,1321.1,67,6,24.2,79,10.7,87,48,78.7,High,Low attendance; Declining GPA; Backlogs; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1022,92,7.3,7.24,86,4,86,586.7,72,12,22.8,45,52.5,66,114,37.7,Low,Backlogs,Continue regular monitoring
ST1023,41,6.65,8.68,74,2,41,421.1,48,14,26.6,68,27.7,23,60,52.5,Medium,Low attendance; Declining GPA; Backlogs,Monitor performance and attendance
ST1024,63,9.33,4.64,49,4,69,1257,93,8,37.2,75,34.9,53,177,41.7,Medium,Low attendance; Low assignment completion; Backlogs,Monitor performance and attendance
ST1025,83,6.11,8.57,46,2,92,1070.7,35,6,30.4,76,92.7,25,233,54.5,Medium,Declining GPA; Low assignment completion; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1026,69,4.7,7.25,100,0,73,1169.6,75,11,25,73,9.1,86,168,45.9,Medium,Low attendance; Declining GPA; High water level,Monitor performance and attendance
ST1027,77,4.86,9.78,33,0,61,1322,71,5,23.7,38,99.3,21,223,58.5,Medium,Declining GPA; Low assignment completion; Heavy rainfall,Monitor performance and attendance
ST1028,41,8.57,6.05,43,5,42,1283.1,94,15,27.3,79,51.3,64,30,63.1,Medium,Low attendance; Low assignment completion; Backlogs,Monitor performance and attendance
ST1029,99,7.71,7.8,32,0,45,1457,88,14,40.7,89,71.5,60,21,22.7,Low,Low assignment completion; Heavy rainfall,Continue regular monitoring
ST1030,60,4.61,9.59,87,5,54,989.5,81,9,27.5,44,10.8,48,197,75.9,High,Low attendance; Declining GPA; Backlogs,Faculty intervention; Academic counselling; Campus monitoring
ST1031,72,4.5,4.62,84,1,66,937.3,76,0,41.7,65,40.5,42,188,48.7,Medium,Low attendance,Monitor performance and attendance
ST1032,51,8.21,9.62,33,1,49,842.1,36,10,30.7,92,10.8,42,213,40.2,Medium,Low attendance; Declining GPA; Low assignment completion,Monitor performance and attendance
